addable  - addax
gibbose  - gibbon
gibbous  - gibbon
goatish  - goat
goatish  - goats
goatlike  - goat
goatlike  - goats
goatskin  - goat
goatskin  - goats
golden  - gold, silver and blue monkeys
golden  - golden eagle
golden  - golden pheasant
goldless  - gold, silver and blue monkeys
goldless  - golden eagle
goldless  - golden pheasant
gooseberry  - goose
goosewinged  - goose
goosish  - goose
graspable  - grasshopper
grasping  - grasshopper
graspless  - grasshopper
grassless  - grasshopper
grassy  - grasshopper
greasily  - great bittern
greasily  - great crested newt
greasily  - great green macaw
greasily  - great white african pelican birds
greasily  - great white shark
greasily  - greater flamingo
greasily  - greater horseshoe bat
greasily  - greater mouse-eared bat
greasily  - greater spot-nosed monkeys
greatly  - great bittern
greatly  - great crested newt
greatly  - great green macaw
greatly  - great white african pelican birds
greatly  - great white shark
greatly  - greater flamingo
greatly  - greater horseshoe bat
greatly  - greater mouse-eared bat
greatly  - greater spot-nosed monkeys
greedily  - green crabs
greedily  - green scarab beetle
greek  - green crabs
greek  - green scarab beetle
greekish  - green crabs
greekish  - green scarab beetle
greenly  - green crabs
greenly  - green scarab beetle
greet  - green crabs
greet  - green scarab beetle
grey  - grey jungle fowl bird
grey  - grey loerie bird
grey  - grey partridge
grey  - grey seal
grey  - grey wolf
grizelin  - grizzly bear
grizzled  - grizzly bear
grizzly  - grizzly bear
groundedly  - ground beetle
groundedly  - ground centipede
groundly  - ground beetle
groundly  - ground centipede
grouty  - ground beetle
grouty  - ground centipede
gullible  - gull
gullish  - gull
harberous  - harbour porpoise
harborless  - harbour porpoise
harborous  - harbour porpoise
hare'brained'  - hare
harengiform  - hare
hawked  - hawk
hazeless  - hazel dormouse
hazelly  - hazel dormouse
hectocotylized  - hectors dolphin
hectorly  - hectors dolphin
hedgeborn  - hedgehog
hedgeless  - hedgehog
hermaphroditic  - hermit crabs
hermaphroditical  - hermit crabs
hermeneutic  - hermit crabs
hermetic  - hermit crabs
hermetically  - hermit crabs
heroical  - heron
heroicomic  - heron
hipped  - hippopotamus
hippish  - hippopotamus
hippocampal  - hippopotamus
hippocrepiform  - hippopotamus
hobornob  - hobo spider
honest  - honey bee
honest  - honey bee characteristics
honestly  - honey bee
honestly  - honey bee characteristics
honesty  - honey bee
honesty  - honey bee characteristics
honeycombed  - honey bee
honeycombed  - honey bee characteristics
honeyed  - honey bee
honeyed  - honey bee characteristics
honeyless  - honey bee
honeyless  - honey bee characteristics
honeysuckled  - honey bee
honeysuckled  - honey bee characteristics
hornblendic  - hornets
hornfoot  - hornets
hornish  - hornets
hornless  - hornets
horse  - horses
horse  - horseshoe crabs
horsly  - horses
horsly  - horseshoe crabs
houseling  - house centipede
housewifely  - house centipede
humble  - humboldt penguin
humbly  - humboldt penguin
hydrated  - hydrozoan jellyfish
hydraulical  - hydrozoan jellyfish
hydrencephsloid  - hydrozoan jellyfish
hydriform  - hydrozoan jellyfish
hydrocephaloid  - hydrozoan jellyfish
hydrocephalous  - hydrozoan jellyfish
hydrodynamic  - hydrozoan jellyfish
hydrogenous  - hydrozoan jellyfish
hydrographic  - hydrozoan jellyfish
hydrographical  - hydrozoan jellyfish
hydrological  - hydrozoan jellyfish
hydrolytic  - hydrozoan jellyfish
hydromantic  - hydrozoan jellyfish
hydromellonic  - hydrozoan jellyfish
hydrometallurgical  - hydrozoan jellyfish
hydrometric  - hydrozoan jellyfish
hydropathic  - hydrozoan jellyfish
hydropathical  - hydrozoan jellyfish
hydrophanous  - hydrozoan jellyfish
hydropic  - hydrozoan jellyfish
hydropically  - hydrozoan jellyfish
hydrostatic  - hydrozoan jellyfish
hydrosulphureted  - hydrozoan jellyfish
hydrotic  - hydrozoan jellyfish
hydrotical  - hydrozoan jellyfish
hydrous  - hydrozoan jellyfish
hydroxanthic  - hydrozoan jellyfish
hydrozoal  - hydrozoan jellyfish
iguanid  - iguana
iguanodont  - iguana
iguanoid  - iguana
impacable  - impala
impacted  - impala
impair  - impala
impalatable  - impala
impalpable  - impala
impalpably  - impala
imparalleled  - impala
impardonable  - impala
imparipinnate  - impala
impartial  - impala
impartially  - impala
impartible  - impala
impassibility  - impala
impassionable  - impala
impassionate  - impala
impassive  - impala
impatible  - impala
impatient  - impala
impatiently  - impala
impavid  - impala
indical  - indian cuckoo bird
indical  - indian rhinoceros
indical  - indian skimmer bird
indicated  - indian cuckoo bird
indicated  - indian rhinoceros
indicated  - indian skimmer bird
indicative  - indian cuckoo bird
indicative  - indian rhinoceros
indicative  - indian skimmer bird
indicatively  - indian cuckoo bird
indicatively  - indian rhinoceros
indicatively  - indian skimmer bird
indicatory  - indian cuckoo bird
indicatory  - indian rhinoceros
indicatory  - indian skimmer bird
indicible  - indian cuckoo bird
indicible  - indian rhinoceros
indicible  - indian skimmer bird
indictive  - indian cuckoo bird
indictive  - indian rhinoceros
indictive  - indian skimmer bird
indifferent  - indian cuckoo bird
indifferent  - indian rhinoceros
indifferent  - indian skimmer bird
indigenous  - indian cuckoo bird
indigenous  - indian rhinoceros
indigenous  - indian skimmer bird
indigent  - indian cuckoo bird
indigent  - indian rhinoceros
indigent  - indian skimmer bird
indigently  - indian cuckoo bird
indigently  - indian rhinoceros
indigently  - indian skimmer bird
indigest  - indian cuckoo bird
indigest  - indian rhinoceros
indigest  - indian skimmer bird
indigested  - indian cuckoo bird
indigested  - indian rhinoceros
indigested  - indian skimmer bird
indigestible  - indian cuckoo bird
indigestible  - indian rhinoceros
indigestible  - indian skimmer bird
indign  - indian cuckoo bird
indign  - indian rhinoceros
indign  - indian skimmer bird
indignantly  - indian cuckoo bird
indignantly  - indian rhinoceros
indignantly  - indian skimmer bird
indignly  - indian cuckoo bird
indignly  - indian rhinoceros
indignly  - indian skimmer bird
indilatory  - indian cuckoo bird
indilatory  - indian rhinoceros
indilatory  - indian skimmer bird
indiligent  - indian cuckoo bird
indiligent  - indian rhinoceros
indiligent  - indian skimmer bird
indiminishable  - indian cuckoo bird
indiminishable  - indian rhinoceros
indiminishable  - indian skimmer bird
indirect  - indian cuckoo bird
indirect  - indian rhinoceros
indirect  - indian skimmer bird
indirected  - indian cuckoo bird
indirected  - indian rhinoceros
indirected  - indian skimmer bird
indiscernible  - indian cuckoo bird
indiscernible  - indian rhinoceros
indiscernible  - indian skimmer bird
indiscerpible  - indian cuckoo bird
indiscerpible  - indian rhinoceros
indiscerpible  - indian skimmer bird
indiscerptible  - indian cuckoo bird
indiscerptible  - indian rhinoceros
indiscerptible  - indian skimmer bird
indisciplinable  - indian cuckoo bird
indisciplinable  - indian rhinoceros
indisciplinable  - indian skimmer bird
indiscoverable  - indian cuckoo bird
indiscoverable  - indian rhinoceros
indiscoverable  - indian skimmer bird
indiscreet  - indian cuckoo bird
indiscreet  - indian rhinoceros
indiscreet  - indian skimmer bird
indiscrete  - indian cuckoo bird
indiscrete  - indian rhinoceros
indiscrete  - indian skimmer bird
indiscriminate  - indian cuckoo bird
indiscriminate  - indian rhinoceros
indiscriminate  - indian skimmer bird
indiscriminating  - indian cuckoo bird
indiscriminating  - indian rhinoceros
indiscriminating  - indian skimmer bird
indiscriminative  - indian cuckoo bird
indiscriminative  - indian rhinoceros
indiscriminative  - indian skimmer bird
indiscussed  - indian cuckoo bird
indiscussed  - indian rhinoceros
indiscussed  - indian skimmer bird
indispensable  - indian cuckoo bird
indispensable  - indian rhinoceros
indispensable  - indian skimmer bird
indispensably  - indian cuckoo bird
indispensably  - indian rhinoceros
indispensably  - indian skimmer bird
indispersed  - indian cuckoo bird
indispersed  - indian rhinoceros
indispersed  - indian skimmer bird
indisputable  - indian cuckoo bird
indisputable  - indian rhinoceros
indisputable  - indian skimmer bird
indisputed  - indian cuckoo bird
indisputed  - indian rhinoceros
indisputed  - indian skimmer bird
indissipable  - indian cuckoo bird
indissipable  - indian rhinoceros
indissipable  - indian skimmer bird
indissolubly  - indian cuckoo bird
indissolubly  - indian rhinoceros
indissolubly  - indian skimmer bird
indistinctible  - indian cuckoo bird
indistinctible  - indian rhinoceros
indistinctible  - indian skimmer bird
indistinctive  - indian cuckoo bird
indistinctive  - indian rhinoceros
indistinctive  - indian skimmer bird
indistinguishably  - indian cuckoo bird
indistinguishably  - indian rhinoceros
indistinguishably  - indian skimmer bird
indistinguished  - indian cuckoo bird
indistinguished  - indian rhinoceros
indistinguished  - indian skimmer bird
indivertible  - indian cuckoo bird
indivertible  - indian rhinoceros
indivertible  - indian skimmer bird
individable  - indian cuckoo bird
individable  - indian rhinoceros
individable  - indian skimmer bird
individed  - indian cuckoo bird
individed  - indian rhinoceros
individed  - indian skimmer bird
individualistic  - indian cuckoo bird
individualistic  - indian rhinoceros
individualistic  - indian skimmer bird
individually  - indian cuckoo bird
individually  - indian rhinoceros
individually  - indian skimmer bird
individuate  - indian cuckoo bird
individuate  - indian rhinoceros
individuate  - indian skimmer bird
indivisibly  - indian cuckoo bird
indivisibly  - indian rhinoceros
indivisibly  - indian skimmer bird
italianate  - italian wolf
italic  - italian wolf
japannish  - japanese spider crabs
jellied  - jellyfish
kingdomed  - king cobra snakes
kingdomed  - king penguin
kingdomed  - kingfisher
kingless  - king cobra snakes
kingless  - king penguin
kingless  - kingfisher
kingly  - king cobra snakes
kingly  - king penguin
kingly  - kingfisher
kinky  - kinkajou
kittle  - kittens
kittlish  - kittens
lady  - ladybird
ladylike  - ladybird
laughingly  - laughing kookaburra
laughterless  - laughing kookaburra
laughworthy  - laughing kookaburra
lemuridous  - lemur
lemurine  - lemur
lemuroid  - lemur
lionced  - lion
lionced  - lions
lionlike  - lion
lionlike  - lions
lionly  - lion
lionly  - lions
littery  - little fairy penguin
little  - little fairy penguin
long  - long horned beetle
long  - longhorn cowfish
longeval  - long horned beetle
longeval  - longhorn cowfish
longevous  - long horned beetle
longevous  - longhorn cowfish
longheaded  - long horned beetle
longheaded  - longhorn cowfish
longicorn  - long horned beetle
longicorn  - longhorn cowfish
longimanous  - long horned beetle
longimanous  - longhorn cowfish
longingly  - long horned beetle
longingly  - longhorn cowfish
longipennine  - long horned beetle
longipennine  - longhorn cowfish
longirostral  - long horned beetle
longirostral  - longhorn cowfish
longish  - long horned beetle
longish  - longhorn cowfish
longitudinally  - long horned beetle
longitudinally  - longhorn cowfish
longly  - long horned beetle
longly  - longhorn cowfish
longshore  - long horned beetle
longshore  - longhorn cowfish
longsome  - long horned beetle
longsome  - longhorn cowfish
longways  - long horned beetle
longways  - longhorn cowfish
longwise  - long horned beetle
longwise  - longhorn cowfish
macaronian  - macaque monkeys
macaronian  - macaroni penguin
macaronian  - macaw
manable  - manatee
manageless  - manatee
maned  - maned wolf
maneless  - maned wolf
manerial  - maned wolf
mantuan  - mantis
marigenous  - marine angelfish
marine  - marine angelfish
marined  - marine angelfish
marish  - marine angelfish
maritated  - marine angelfish
maritimal  - marine angelfish
maritimale  - marine angelfish
markable  - markhor
martially  - marten
martyrly  - marten
martyrologic  - marten
masked  - masked finfoot bird
mexican  - mexican wolf
miliolite  - military macaw parrot
miliolitic  - military macaw parrot
militant  - military macaw parrot
militar  - military macaw parrot
militarily  - military macaw parrot
milken  - milkweed beetle
milkful  - milkweed beetle
milkily  - milkweed beetle
milky  - milkweed beetle
milled  - millipedes
millenary  - millipedes
milliary  - millipedes
millifold  - millipedes
millioned  - millipedes
millionth  - millipedes
mockable  - mockingbird
mockingly  - mockingbird
mockish  - mockingbird
mockle  - mockingbird
molecularly  - moles
molendinaceous  - moles
molendinarious  - moles
molestful  - moles
monking  - monkey
monking  - monkeys
morphologic  - morpho butterfly
mothen  - moth
motherly  - moth
mothy  - moth
mountable  - mountain goat
mountable  - mountain gorillas
mountable  - mountain zebra
mountain  - mountain goat
mountain  - mountain gorillas
mountain  - mountain zebra
mountainous  - mountain goat
mountainous  - mountain gorillas
mountainous  - mountain zebra
mountant  - mountain goat
mountant  - mountain gorillas
mountant  - mountain zebra
mountebankish  - mountain goat
mountebankish  - mountain gorillas
mountebankish  - mountain zebra
mountingly  - mountain goat
mountingly  - mountain gorillas
mountingly  - mountain zebra
mousing  - mouse spider
mousy  - mouse spider
natty  - natterjack toad
new  - new world monkeys
new  - new world tarantula spider
north  - northern short-tailed shrew
northeast  - northern short-tailed shrew
northeasterly  - northern short-tailed shrew
northeastern  - northern short-tailed shrew
northeastward  - northern short-tailed shrew
northeastwardly  - northern short-tailed shrew
northerly  - northern short-tailed shrew
northernly  - northern short-tailed shrew
northernmost  - northern short-tailed shrew
northmost  - northern short-tailed shrew
northumbrian  - northern short-tailed shrew
northward  - northern short-tailed shrew
northwardly  - northern short-tailed shrew
northwest  - northern short-tailed shrew
northwestward  - northern short-tailed shrew
northwestwardly  - northern short-tailed shrew
ocellary  - ocelot
ocellate  - ocelot
ocellated  - ocelot
oceloid  - ocelot
ostracoid  - ostrich birds
ostriferous  - ostrich birds
ostrogothic  - ostrich birds
pandarous  - pandas
pandean  - pandas
pandemic  - pandas
panderly  - pandas
panderous  - pandas
pandiculated  - pandas
pandurate  - pandas
pantamorphic  - pantropical spotted dolphins
pantascopic  - pantropical spotted dolphins
panteutonic  - pantropical spotted dolphins
pantheistic  - pantropical spotted dolphins
pantingly  - pantropical spotted dolphins
pantisocratic  - pantropical spotted dolphins
pantographic  - pantropical spotted dolphins
pantographical  - pantropical spotted dolphins
pantological  - pantropical spotted dolphins
pantomimic  - pantropical spotted dolphins
pantomimical  - pantropical spotted dolphins
pantophagous  - pantropical spotted dolphins
papery  - paper wasp
papescent  - paper wasp
parable  - parasitic bees
parabolic  - parasitic bees
parabolically  - parasitic bees
paraboliform  - parasitic bees
paracentric  - parasitic bees
paracentrical  - parasitic bees
parachordal  - parasitic bees
parachrose  - parasitic bees
paradigmatic  - parasitic bees
paradigmatical  - parasitic bees
paradisaic  - parasitic bees
paradisal  - parasitic bees
paradisean  - parasitic bees
paradised  - parasitic bees
paradisiac  - parasitic bees
paradisial  - parasitic bees
paradisian  - parasitic bees
paradisic  - parasitic bees
paradisical  - parasitic bees
paradoxal  - parasitic bees
paradoxical  - parasitic bees
paragogic  - parasitic bees
paragraphic  - parasitic bees
paragraphistical  - parasitic bees
paraguayan  - parasitic bees
parallactic  - parasitic bees
parallactical  - parasitic bees
parallel  - parasitic bees
parallelistic  - parasitic bees
parallelless  - parasitic bees
parallelly  - parasitic bees
parallelogrammatic  - parasitic bees
parallelogrammic  - parasitic bees
parallelogrammical  - parasitic bees
paralogical  - parasitic bees
paralytic  - parasitic bees
paralytical  - parasitic bees
paramorphous  - parasitic bees
paramountly  - parasitic bees
paramour  - parasitic bees
paranymphal  - parasitic bees
parapeted  - parasitic bees
paraphosphoric  - parasitic bees
paraphrastic  - parasitic bees
parasital  - parasitic bees
parasitic  - parasitic bees
parasitical  - parasitic bees
parasphenoid  - parasitic bees
parasynthetic  - parasitic bees
parathetic  - parasitic bees
paraunter  - parasitic bees
paravail  - parasitic bees
paravant  - parasitic bees
paraventure  - parasitic bees
paraxial  - parasitic bees
parricidal  - parrot
parricidious  - parrot
part  - partridge
partable  - partridge
parted  - partridge
parthenogenitive  - partridge
participable  - partridge
participant  - partridge
participantly  - partridge
participate  - partridge
participative  - partridge
participially  - partridge
participle  - partridge
particolored  - partridge
particularly  - partridge
particulate  - partridge
partitively  - partridge
partly  - partridge
parturious  - partridge
parturitive  - partridge
party  - partridge
peaceless  - peacock
peachy  - peacock
peccable  - peccary (javelina)
peccant  - peccary (javelina)
peccantly  - peccary (javelina)
pineal  - pine marten
piney  - pine marten
piratic  - piranha fish
plaided  - plains zebra
plain  - plains zebra
plaining  - plains zebra
plainly  - plains zebra
plaintful  - plains zebra
plaintiff  - plains zebra
plaintless  - plains zebra
plat  - platypus
plateresque  - platypus
platinoid  - platypus
platitudinous  - platypus
platonic  - platypus
platonically  - platypus
platy  - platypus
platycephalic  - platypus
platycephalous  - platypus
platycoelian  - platypus
platyrhine  - platypus
poisonable  - poison arrow frogs
poisonous  - poison arrow frogs
poisonsome  - poison arrow frogs
polaric  - polar bear
polarily  - polar bear
polarizable  - polar bear
polary  - polar bear
polemical  - polecat
polewards  - polecat
poley  - polecat
pollenarious  - pollan fish
pollened  - pollan fish
polleniferous  - pollan fish
pollicate  - pollan fish
pollinate  - pollan fish
polliniferous  - pollan fish
pollute  - pollan fish
polluted  - pollan fish
polluting  - pollan fish
porcate  - porcupine
porcelainized  - porcupine
porcelaneous  - porcupine
porcelanous  - porcupine
porcellanous  - porcupine
porcine  - porcupine
porphyraceous  - porpoise
pottern  - potter wasps
prayerful  - praying mantis
prayerless  - praying mantis
prayingly  - praying mantis
puff  - puffin
puffingly  - puffin
pygmean  - pygmy hippopotamus
pygmy  - pygmy hippopotamus
rabbinic  - rabbits
rabbinically  - rabbits
rainbowed  - rainbow bee eater
rateable  - ratel
red  - red back jumping spiders
red  - red british squirrel
red  - red fox
red  - red kangaroo
red  - red kite
red  - red pandas
red  - red rock crabs
red  - red wolf
retiary  - reticulated giraffe
reticent  - reticulated giraffe
reticular  - reticulated giraffe
reticularly  - reticulated giraffe
reticulate  - reticulated giraffe
reticulose  - reticulated giraffe
retinal  - reticulated giraffe
retinerved  - reticulated giraffe
retinophoral  - reticulated giraffe
rhinal  - rhino
rhinal  - rhinoceros
rhinal  - rhinoceros beetle
rhinencephalic  - rhino
rhinencephalic  - rhinoceros
rhinencephalic  - rhinoceros beetle
rhinocerial  - rhino
rhinocerial  - rhinoceros
rhinocerial  - rhinoceros beetle
rhinocerotic  - rhino
rhinocerotic  - rhinoceros
rhinocerotic  - rhinoceros beetle
rhinological  - rhino
rhinological  - rhinoceros
rhinological  - rhinoceros beetle
rhinoscopic  - rhino
rhinoscopic  - rhinoceros
rhinoscopic  - rhinoceros beetle
right  - right whales
righteoused  - right whales
rightful  - right whales
rightfully  - right whales
rightless  - right whales
rightly  - right whales
rightward  - right whales
rightwise  - right whales
rightwisely  - right whales
roborant  - roborovski hamsters
roborean  - roborovski hamsters
roboreous  - roborovski hamsters
rockless  - rockhopper penguin
rouge  - rough-toothed dolphins
rough  - rough-toothed dolphins
roughhewn  - rough-toothed dolphins
roughish  - rough-toothed dolphins
roughly  - rough-toothed dolphins
royal  - royal penguin
royally  - royal penguin
sacral  - sacred ibis bird
sacramental  - sacred ibis bird
sacramentally  - sacred ibis bird
sacramentarian  - sacred ibis bird
sacramentary  - sacred ibis bird
sacred  - sacred ibis bird
sacrific  - sacred ibis bird
sacrificable  - sacred ibis bird
sacrifical  - sacred ibis bird
sacrificial  - sacred ibis bird
sacrilegious  - sacred ibis bird
sacrosanct  - sacred ibis bird
sallowish  - sally lightfoot crab
sandaled  - sand lizard
sandaliform  - sand lizard
sanded  - sand lizard
sandish  - sand lizard
scarce  - scarlet macaw
scarcely  - scarlet macaw
scariose  - scarlet macaw
scarless  - scarlet macaw
scarry  - scarlet macaw
scary  - scarlet macaw
secre  - secretary bird
secrely  - secretary bird
secret  - secretary bird
secretarial  - secretary bird
secretly  - secretary bird
servable  - serval
servient  - serval
servile  - serval
servilely  - serval
shadeful  - shad
shadeless  - shad
shadily  - shad
shadowish  - shad
shadowless  - shad
shadowy  - shad
sharp  - shark
sharpen  - shark
sheathless  - shearwater
sheathy  - shearwater
sheaved  - shearwater
sheenly  - sheep
sheeny  - sheep
sheepish  - sheep
sheepy  - sheep
sheer  - sheep
sheerly  - sheep
shreddy  - shrew
shredless  - shrew
shrew  - shrew
shrewish  - shrew
shrieval  - shrike
shrilly  - shrike
shrinkingly  - shrike
silvan  - silvery gibbon
silver  - silvery gibbon
silverly  - silvery gibbon
silvern  - silvery gibbon
silvery  - silvery gibbon
slothful  - sloth
slotted  - sloth
snakish  - snake
snakish  - snakes
snaky  - snake
snaky  - snakes
snowless  - snow leopard
snowless  - snowshoe hare
snowy  - snow leopard
snowy  - snowshoe hare
sole  - solenodon
solecistic  - solenodon
solecistically  - solenodon
solemn  - solenodon
solemnly  - solenodon
solempne  - solenodon
solenaceous  - solenodon
solenoglyph  - solenodon
solert  - solenodon
solicitate  - solitary bees
solid  - solitary bees
solidary  - solitary bees
solidifiable  - solitary bees
solidly  - solitary bees
solidungular  - solitary bees
solidungulous  - solitary bees
solifidian  - solitary bees
solipedous  - solitary bees
solitarily  - solitary bees
solitary  - solitary bees
solitude  - solitary bees
solivagant  - solitary bees
solivagous  - solitary bees
songful  - song thrush
songish  - song thrush
south  - southern short-tailed shrew
southeaster  - southern short-tailed shrew
southeastern  - southern short-tailed shrew
southeastward  - southern short-tailed shrew
southeastwardly  - southern short-tailed shrew
southerly  - southern short-tailed shrew
southernly  - southern short-tailed shrew
southernmost  - southern short-tailed shrew
southly  - southern short-tailed shrew
southmost  - southern short-tailed shrew
southren  - southern short-tailed shrew
southward  - southern short-tailed shrew
southwardly  - southern short-tailed shrew
southwestward  - southern short-tailed shrew
southwestwardly  - southern short-tailed shrew
special  - spectacled bear
special  - spectacled/common caiman
specially  - spectacled bear
specially  - spectacled/common caiman
specifiable  - spectacled bear
specifiable  - spectacled/common caiman
specific  - spectacled bear
specific  - spectacled/common caiman
specifical  - spectacled bear
specifical  - spectacled/common caiman
specifically  - spectacled bear
specifically  - spectacled/common caiman
specious  - spectacled bear
specious  - spectacled/common caiman
speckled  - spectacled bear
speckled  - spectacled/common caiman
spectacled  - spectacled bear
spectacled  - spectacled/common caiman
spectacular  - spectacled bear
spectacular  - spectacled/common caiman
spectant  - spectacled bear
spectant  - spectacled/common caiman
spectatorial  - spectacled bear
spectatorial  - spectacled/common caiman
spectral  - spectacled bear
spectral  - spectacled/common caiman
spectrally  - spectacled bear
spectrally  - spectacled/common caiman
spectroscopic  - spectacled bear
spectroscopic  - spectacled/common caiman
specular  - spectacled bear
specular  - spectacled/common caiman
speculative  - spectacled bear
speculative  - spectacled/common caiman
speculatorial  - spectacled bear
speculatorial  - spectacled/common caiman
speculatory  - spectacled bear
speculatory  - spectacled/common caiman
spidered  - spider
spidered  - spider monkey
spidered  - spiders
spiderlike  - spider
spiderlike  - spider monkey
spiderlike  - spiders
spinal  - spinner dolphins
spinate  - spinner dolphins
spined  - spinner dolphins
spineless  - spinner dolphins
spineted  - spinner dolphins
spiniferous  - spinner dolphins
spiniform  - spinner dolphins
spinigerous  - spinner dolphins
spinny  - spinner dolphins
spinose  - spinner dolphins
spinous  - spinner dolphins
spinulescent  - spinner dolphins
spinulose  - spinner dolphins
spinulous  - spinner dolphins
spiny  - spinner dolphins
spotty  - spotted beetle
squib  - squirrel
squib  - squirrel monkeys
squillitic  - squirrel
squillitic  - squirrel monkeys
squintifego  - squirrel
squintifego  - squirrel monkeys
stagely  - stag beetle
staggeringly  - stag beetle
stagnantly  - stag beetle
stagnate  - stag beetle
stilar  - stilt
still  - stilt
stillatitious  - stilt
stillatory  - stilt
stillicidious  - stilt
stilliform  - stilt
stilly  - stilt
stingily  - stingless bees
stingily  - stink bug
stingless  - stingless bees
stingless  - stink bug
stingy  - stingless bees
stingy  - stink bug
stinkingly  - stingless bees
stinkingly  - stink bug
stintless  - stingless bees
stintless  - stink bug
stonily  - stone curlew
stonily  - stone dwelling centipede
stonish  - stone curlew
stonish  - stone dwelling centipede
striate  - striped dolphins
striate  - striped hyena
strictly  - striped dolphins
strictly  - striped hyena
strident  - striped dolphins
strident  - striped hyena
stridulatory  - striped dolphins
stridulatory  - striped hyena
strifeful  - striped dolphins
strifeful  - striped hyena
strigate  - striped dolphins
strigate  - striped hyena
strigine  - striped dolphins
strigine  - striped hyena
strigous  - striped dolphins
strigous  - striped hyena
stringed  - striped dolphins
stringed  - striped hyena
stringless  - striped dolphins
stringless  - striped hyena
striped  - striped dolphins
striped  - striped hyena
sugared  - sugar maple borer beetle
sugarless  - sugar maple borer beetle
sugary  - sugar maple borer beetle
sumatran  - sumatran rhinoceros
swift  - swiftlet
swiftfoot  - swiftlet
swiftly  - swiftlet
syrian  - syrian hamster
tangent  - tangle web spiders
tangental  - tangle web spiders
tangential  - tangle web spiders
tangentially  - tangle web spiders
tangible  - tangle web spiders
tanglingly  - tangle web spiders
tangly  - tangle web spiders
tarantulated  - tarantula spider
tern  - tern
terneplate  - tern
ternion  - tern
thomsonian  - thomson&#8217;s gazelle
tigerine  - tiger
tigerine  - tiger shark
tigerine  - tigers
tigerish  - tiger
tigerish  - tiger shark
tigerish  - tigers
toadish  - toad
tort  - tortoise
tortile  - tortoise
tortious  - tortoise
tortiously  - tortoise
tortive  - tortoise
tortulous  - tortoise
tortuose  - tortoise
tortuous  - tortoise
torturable  - tortoise
torturingly  - tortoise
touch  - toucan
touchable  - toucan
touchily  - toucan
touchy  - toucan
trapezate  - trapdoor spider
trapeziform  - trapdoor spider
trapezoidal  - trapdoor spider
trappean  - trapdoor spider
trappy  - trapdoor spider
troublable  - trout
trouble  - trout
troublesome  - trout
troublous  - trout
vulturish  - vulture
vulturous  - vulture
wallowish  - wallaby
warblingly  - warbler
waspish  - wasp
waspish  - wasps
waterish  - water beetle
waterless  - water beetle
watery  - water beetle
weasy  - weasel
weevily  - weevil beetle
west  - west african manatee
west  - west indian manatee
west  - western lowland gorillas
westering  - west african manatee
westering  - west indian manatee
westering  - western lowland gorillas
westerly  - west african manatee
westerly  - west indian manatee
westerly  - western lowland gorillas
westernmost  - west african manatee
westernmost  - west indian manatee
westernmost  - western lowland gorillas
westmost  - west african manatee
westmost  - west indian manatee
westmost  - western lowland gorillas
westward  - west african manatee
westward  - west indian manatee
westward  - western lowland gorillas
westwardly  - west african manatee
westwardly  - west indian manatee
westwardly  - western lowland gorillas
westy  - west african manatee
westy  - west indian manatee
westy  - western lowland gorillas
whally  - whale
whally  - whales
whither  - white bengal tiger
whither  - white rhino
whither  - white stork birds
whither  - white-clawed crayfish
whitherward  - white bengal tiger
whitherward  - white rhino
whitherward  - white stork birds
whitherward  - white-clawed crayfish
whitish  - white bengal tiger
whitish  - white rhino
whitish  - white stork birds
whitish  - white-clawed crayfish
whitson  - white bengal tiger
whitson  - white rhino
whitson  - white stork birds
whitson  - white-clawed crayfish
wilded  - wild boar
wilded  - wild rabbits
wilded  - wildebeest
wilder  - wild boar
wilder  - wild rabbits
wilder  - wildebeest
wildish  - wild boar
wildish  - wild rabbits
wildish  - wildebeest
wildly  - wild boar
wildly  - wild rabbits
wildly  - wildebeest
wintery  - winter white russian hamster
wolf  - wolf
wolf  - wolf spider
wolframic  - wolf
wolframic  - wolf spider
wolvish  - wolverine
wolvish  - wolves
womby  - wombat
wrynecked  - wryneck
